3    29
4    30
5    31
6    32
7    27
8    28
9    22
10    21
11    20
12    19
13    18
14    17
15    16
16    15
17    14
18    33
19    11
20    12
21    13
22    8
23    7
24    6
25    5
26    4
27    2
28    1
29    3
30    9
31    10
32    25
33    26
34    24
35    23
39    57
41    58
42    55
43    51
44    52
45    50
46    49
47    48
48    59
49    47
50    44
51    45
52    42
53    43
54    40
55    41
56    34
57    35
58    36
59    37
60    38
61    39
62    46
63    54
64    53
