2    2
45    45
1    1
44    44
6    6
49    49
10    10
22    22
59    59
23    23
12    12
26    26
11    11
7    7
50    50
8    8
51    51
34    34
13    13
35    35
39    39
25    25
21    21
58    58
19    19
56    56
24    24
5    5
48    48
20    20
57    57
38    38
29    29
61    62
62    61
31    31
65    65
66    66
42    42
32    32
67    67
68    68
30    30
63    64
64    63
37    37
27    27
36    36
43    43
28    28
60    60
14    14
52    52
40    40
15    15
33    33
69    69
70    70
9    9
4    4
47    47
18    18
55    55
16    16
53    53
17    17
54    54
3    3
46    46
41    41
