2    2
1    1
41    43
42    42
43    41
3    3
4    4
44    44
5    5
45    45
6    6
37    37
62    62
38    38
39    39
40    40
63    63
64    65
65    64
7    7
8    8
9    9
10    10
11    11
47    47
12    12
16    16
15    15
14    14
49    49
13    13
48    48
17    17
18    18
50    50
19    19
51    51
20    20
52    52
21    21
22    22
53    53
23    23
24    24
25    25
26    26
27    27
55    55
28    28
56    56
29    29
30    30
57    57
31    31
58    58
32    32
36    36
61    61
35    35
60    60
34    34
33    33
