2    2
33    31
1    1
32    30
6    6
36    34
5    5
35    33
4    4
34    32
3    3
7    7
37    35
8    8
38    36
39    37
9    9
40    38
41    39
10    59
11    10
42    40
43    41
44    42
12    61
13    11
14    12
15    13
48    43
16    14
17    15
49    44
18    16
19    17
20    18
21    19
22    20
23    21
24    22
25    23
26    24
52    47
53    48
27    25
28    26
54    49
55    50
29    27
56    51
57    52
31    29
61    56
62    57
63    58
30    28
58    53
59    54
60    55
