2    30
3    29
4    31
5    32
6    34
7    27
8    28
9    22
10    21
11    20
12    19
13    18
14    17
15    16
16    15
17    14
18    35
19    11
20    12
21    13
22    8
23    7
24    6
25    5
26    4
27    2
28    1
29    3
30    9
31    10
32    25
33    26
34    24
35    23
39    58
41    59
42    57
43    53
44    54
45    52
46    51
47    50
48    60
49    49
50    46
51    47
52    44
53    45
54    42
55    43
56    36
57    37
58    38
59    39
60    40
61    41
62    48
63    56
64    55
