1    1
2    2
3    3
4    4
5    5
6    6
7    7
8    8
9    9
10    10
11    11
12    12
13    13
14    14
15    15
16    16
17    17
18    18
19    19
20    20
21    21
22    22
23    23
24    24
25    25
26    26
27    27
28    28
29    29
30    30
31    31
44    32
33    33
34    34
35    35
36    36
37    37
38    38
39    39
40    40
41    41
42    42
43    43
32    44
55    46
56    47
57    48
58    49
59    50
61    51
60    52
62    53
65    55
64    56
66    57
67    58
68    59
69    60
70    61
73    63
72    64
76    66
75    67
77    68
79    69
80    70
78    71
92    72
93    73
94    74
85    76
86    77
87    78
88    79
89    80
90    81
91    82
81    83
82    84
83    85
45    87
