21    2
22    3
56    40
57    38
58    39
23    1
59    37
60    36
61    35
20    4
54    42
55    41
19    5
52    44
53    43
18    6
15    7
17    8
14    9
13    10
47    47
48    46
12    11
46    48
24    12
62    49
63    50
25    13
64    51
65    52
26    14
66    53
10    33
45    64
11    34
8    32
9    31
44    63
4    26
5    25
42    62
6    24
43    61
7    23
34    22
27    15
67    54
28    16
29    21
68    59
30    20
69    58
31    19
70    57
32    18
71    56
33    17
72    55
2    27
1    30
3    28
