4    4
42    39
43    40
5    5
44    42
45    43
46    41
3    3
2    2
40    37
41    38
1    1
37    34
38    35
39    36
6    6
47    44
48    45
7    7
49    46
50    47
8    8
51    48
52    49
9    9
10    10
11    11
12    12
13    13
14    14
54    51
15    15
55    52
16    16
56    53
17    17
36    33
70    62
18    18
57    54
58    55
19    19
20    20
21    21
22    22
59    57
60    56
23    23
24    24
25    25
26    26
27    32
61    61
28    31
62    60
29    29
32    28
35    27
69    58
30    30
